,fips,percent_cases,poverty_percent,median_household_income,always,frequently,sometimes,rarely,never
2759,08083,0.08,0.15,52641.0,0.586,0.257,0.081,0.019,0.057
2794,08085,0.09,0.13,50707.0,0.436,0.314,0.07400000000000001,0.092,0.085
2552,08087,0.1,0.12,57535.0,0.396,0.245,0.11599999999999999,0.161,0.083
2537,08089,0.12,0.24,43723.0,0.653,0.19399999999999998,0.102,0.047,0.004
1085,08091,0.06,0.07,72836.0,0.495,0.295,0.069,0.08,0.06
2789,08093,0.05,0.09,77221.0,0.722,0.13699999999999998,0.10300000000000001,0.018000000000000002,0.021
1631,08095,0.09,0.1,53432.0,0.368,0.255,0.13699999999999998,0.19,0.05
2281,08097,0.14,0.06,92820.0,0.633,0.318,0.016,0.013999999999999999,0.019
2666,08099,0.11,0.18,47051.0,0.469,0.201,0.205,0.046,0.079
2822,08101,0.12,0.18,51075.0,0.584,0.28,0.07400000000000001,0.044000000000000004,0.018000000000000002
2897,08103,0.1,0.1,65960.0,0.45799999999999996,0.265,0.07400000000000001,0.092,0.111
2175,08105,0.08,0.14,48496.0,0.444,0.242,0.11,0.14400000000000002,0.061
2814,08107,0.09,0.07,87691.0,0.489,0.375,0.092,0.036000000000000004,0.008
2895,08109,0.07,0.25,37004.0,0.44299999999999995,0.23199999999999998,0.138,0.122,0.065
496,08111,0.07,0.14,50524.0,0.563,0.27,0.09699999999999999,0.038,0.032
2546,08113,0.12,0.1,77209.0,0.565,0.26,0.07400000000000001,0.057999999999999996,0.043
1111,08115,0.11,0.15,42808.0,0.368,0.267,0.138,0.162,0.065
1437,08117,0.12,0.06,86570.0,0.784,0.151,0.064,0.001,0.0
1144,08119,0.08,0.08,70599.0,0.597,0.145,0.066,0.087,0.105
2838,08121,0.1,0.12,53263.0,0.31,0.303,0.10099999999999999,0.20800000000000002,0.077
2938,08123,0.1,0.08,78160.0,0.55,0.231,0.135,0.038,0.046
2815,08125,0.1,0.13,52841.0,0.29,0.255,0.133,0.284,0.038
